Data_As_Of,Start_Date,End_Date,Groups,State,Sex,Age_Group,COVID_19_Deaths,Total_Deaths,Pneumonia_Deaths,Pneumonia_and_COVID_19_Deaths,Influenza_Deaths,Pneumonia_Influenza_or_COVID_19_Deaths,Footnote
07/19/2023,01/01/2020,01/31/2020,By Month,California,All Sexes,All Ages,0,25756,2028,0,274,2302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
07/19/2023,01/01/2020,01/31/2020,By Month,Florida,All Sexes,All Ages,0,19486,1134,0,150,1284,
07/19/2023,01/01/2020,01/31/2020,By Month,Ohio,All Sexes,All Ages,0,11279,616,0,75,691,
07/19/2023,01/01/2020,01/31/2020,By Month,Pennsylvania,All Sexes,All Ages,0,12522,747,0,77,824,
07/19/2023,01/01/2020,01/31/2020,By Month,Texas,All Sexes,All Ages,0,19050,1412,0,184,1596,
07/19/2023,02/01/2020,02/29/2020,By Month,California,All Sexes,All Ages,0,23824,1845,0,296,2143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
07/19/2023,02/01/2020,02/29/2020,By Month,Florida,All Sexes,All Ages,0,18207,1140,0,130,1270,
07/19/2023,02/01/2020,02/29/2020,By Month,Ohio,All Sexes,All Ages,0,10367,535,0,91,626,
07/19/2023,02/01/2020,02/29/2020,By Month,Pennsylvania,All Sexes,All Ages,0,11462,626,0,90,716,
07/19/2023,02/01/2020,02/29/2020,By Month,Texas,All Sexes,All Ages,0,17629,1202,0,160,1363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
07/19/2023,03/01/2020,03/31/2020,By Month,California,All Sexes,All Ages,279,25119,2241,149,189,2560,
07/19/2023,03/01/2020,03/31/2020,By Month,Florida,All Sexes,All Ages,191,19683,1514,106,101,1699,
07/19/2023,03/01/2020,03/31/2020,By Month,Ohio,All Sexes,All Ages,98,11151,726,44,111,891,
07/19/2023,03/01/2020,03/31/2020,By Month,Pennsylvania,All Sexes,All Ages,104,12125,817,51,133,1003,
07/19/2023,03/01/2020,03/31/2020,By Month,Texas,All Sexes,All Ages,99,18576,1412,32,116,1593,
07/19/2023,04/01/2020,04/30/2020,By Month,California,All Sexes,All Ages,2021,25617,2907,1156,31,3803,
07/19/2023,04/01/2020,04/30/2020,By Month,Florida,All Sexes,All Ages,1311,19210,1908,691,31,2554,
07/19/2023,04/01/2020,04/30/2020,By Month,Ohio,All Sexes,All Ages,1063,11528,1037,458,23,1664,
07/19/2023,04/01/2020,04/30/2020,By Month,Pennsylvania,All Sexes,All Ages,3502,15430,2047,1321,16,4240,
07/19/2023,04/01/2020,04/30/2020,By Month,Texas,All Sexes,All Ages,934,18572,1660,392,24,2226,
07/19/2023,05/01/2020,05/31/2020,By Month,California,All Sexes,All Ages,2238,24935,2578,1222,0,3599,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
07/19/2023,05/01/2020,05/31/2020,By Month,Florida,All Sexes,All Ages,1131,19097,1585,571,14,2156,
07/19/2023,05/01/2020,05/31/2020,By Month,Ohio,All Sexes,All Ages,1158,11704,900,451,0,1612,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
